profID,avgDifficulty,avgRating,department,firstName,lastName,numRatings,wouldTakeAgainPercent,fullName
107382,2.5,3.8,Spanish,Juan,De Los Santos Plata,49,,Juan De Los Santos Plata
109809,2.9,4.5,Economics,Paula,Malone,101,,Paula Malone
110321,2.6,4.3,Electrical Engineering,Herbert,Winful,12,,Herbert Winful
112205,2.4,4.9,Spanish,Kristina,Primorac,39,100.0,Kristina Primorac
112207,3.3,3.8,Economics,Janet,Gerson,151,100.0,Janet Gerson
115942,4.0,2.9,Mechanical Engineering,Arthur,Kuo,11,0.0,Arthur Kuo
117033,3.3,4.2,Ethnic Studies,Sarita,See,11,,Sarita See
122393,2.4,4.0,History,Ray,Van Dam,34,,Ray Van Dam
122397,3.0,4.6,English,Raymond,McDaniel,38,100.0,Raymond McDaniel
122569,3.7,3.8,Engineering,Jason,Daida,167,,Jason Daida
122579,2.4,4.5,Engineering,Erik,Hildinger,39,66.0,Erik Hildinger
124722,2.8,3.5,Mechanical Engineering,Sridhar,Kota,6,100.0,Sridhar Kota
126755,2.0,4.3,Linguistics,"Edward ""Rusty""",Barrett,7,100.0,"Edward ""Rusty"" Barrett"
131561,2.7,3.2,Film,Mark,Nornes,15,75.0,Mark Nornes
132112,4.6,3.6,Computer Science,David,Kieras,43,50.0,David Kieras
135652,2.6,4.3,Near Eastern Studies,Sherman,Jackson,29,,Sherman Jackson
135977,3.0,4.5,Electrical Engineering,Gabriel,Rebeiz,1,,Gabriel Rebeiz
138093,3.3,5.0,English,John,Rubadeau,50,100.0,John Rubadeau
139457,3.5,1.9,Music,Marion,Guck,15,25.0,Marion Guck
141189,3.0,4.4,Fine Arts,Michael,Rodemer,7,100.0,Michael Rodemer
145222,4.1,2.6,Physics,George,Raithel,10,0.0,George Raithel
146182,3.8,1.9,Mathematics,Hugh,Montgomery,32,,Hugh Montgomery
146817,4.4,2.8,Mechanical Engineering,Rayhaneh,Akhavan,15,50.0,Rayhaneh Akhavan
153490,2.6,2.5,Engineering,Rodney,Johnson,29,50.0,Rodney Johnson
155905,3.6,3.8,Business,Eric,Svaan,20,33.0,Eric Svaan
155925,3.5,5.0,Music,Colleen,Conway,6,100.0,Colleen Conway
156280,3.2,4.3,Chemistry,Masato,Koreeda,88,,Masato Koreeda
164289,3.5,3.5,English,Peter,Bauland,41,100.0,Peter Bauland
165701,3.6,3.5,English,Geoffrey,Bankowski,44,,Geoffrey Bankowski
168350,2.4,3.3,Linguistics,Acrisio,Pires,27,100.0,Acrisio Pires
168352,3.3,4.9,Linguistics,John,Swales,4,,John Swales
169870,4.5,2.7,Chemistry,Richard,Frazee,10,,Richard Frazee
170446,0.0,0.0,Mathematics,Peter,Hinman,0,,Peter Hinman
170994,2.9,3.9,Education,Elizabeth,Moje,14,,Elizabeth Moje
171009,3.5,4.9,Mathematics,Jill,Halpern,30,100.0,Jill Halpern
175266,3.3,3.9,Film,James,Burnstein,13,,James Burnstein
176208,3.7,2.1,Mathematics,Howard,Thompson,7,0.0,Howard Thompson
176466,2.9,3.0,Residential College,Helen,Fox,18,100.0,Helen Fox
177226,2.5,4.5,Mathematics,Deborah,Ball,4,,Deborah Ball
179285,3.5,2.3,Architecture,Jason,Young,6,100.0,Jason Young
179408,3.3,2.5,Economics,George,Johnson,54,,George Johnson
182883,3.8,2.9,Economics,Alan,Deardorff,90,30.0,Alan Deardorff
184675,3.7,1.9,Aerospace Studies,Phil,Roe,11,0.0,Phil Roe
185293,3.4,4.3,Political Science,Kenneth,Kollman,68,68.0,Kenneth Kollman
186311,4.4,2.6,Electrical Engineering,Sugih,Jamin,22,20.0,Sugih Jamin
186685,2.6,3.6,English,Therese,Stanton,9,,Therese Stanton
187607,4.3,1.9,Mechanical Engineering,Arvind,Atreya,23,0.0,Arvind Atreya
188664,2.8,4.6,German,Janet,Van Valkenburg,12,,Janet Van Valkenburg
188962,3.1,3.8,Mechanical Engineering,Claus,Borgnakke,42,60.0,Claus Borgnakke
188967,2.6,2.5,Mechanical Engineering,Edgar,Meyhofer,22,33.0,Edgar Meyhofer
188972,2.1,5.0,German,Hartmut,Rastalsky,40,100.0,Hartmut Rastalsky
191439,2.6,3.0,Film,Catherine,Benamou,14,,Catherine Benamou
191614,3.8,4.1,Physics,August,Evrard,66,80.0,August Evrard
192603,4.4,1.5,Chemistry,Gary,Glick,84,100.0,Gary Glick
192609,3.3,1.0,Materials Engineering,Rachel,Goldman,26,0.0,Rachel Goldman
192964,3.8,4.3,Physics,Duncan,Steel,6,100.0,Duncan Steel
194496,3.6,4.6,Spanish,Clare,McAlister-Raeburn,8,,Clare McAlister-Raeburn
199742,2.6,4.5,Spanish,Andrew,Noverr,55,100.0,Andrew Noverr
199757,2.5,4.3,History,Maris,Vinovskis,49,100.0,Maris Vinovskis
210445,1.9,3.0,Anthropology,Barbra,Meek,24,50.0,Barbra Meek
211452,2.8,4.8,Comprehensive Studies,Ricky,Fountain,11,,Ricky Fountain
214191,2.7,3.8,Film,Hugh,Cohen,40,,Hugh Cohen
214199,1.8,4.9,Italian,Adelaide,Smith,27,,Adelaide Smith
214209,2.8,2.7,Theater,Gary,Decker,8,0.0,Gary Decker
214211,2.6,5.0,Film,Terri,Sarris,27,100.0,Terri Sarris
217240,2.6,2.4,Astronomy,Hugh,Aller,36,,Hugh Aller
217747,3.6,4.4,Physics,Jianming,Qian,16,100.0,Jianming Qian
217748,3.4,4.4,Physics,David,Gerdes,55,100.0,David Gerdes
219278,2.0,3.8,Film,Lucia,Saks,28,,Lucia Saks
219351,3.5,4.0,Philosophy,Elizabeth,Anderson,42,100.0,Elizabeth Anderson
220017,4.6,3.8,Music,Richard,Beene,10,,Richard Beene
220196,2.2,4.4,History,Damon,Salesa,22,,Damon Salesa
222221,3.4,2.5,Business,John,Tropman,10,66.0,John Tropman
222224,3.4,2.5,Psychology,Frank,Yates,9,0.0,Frank Yates
222229,2.9,3.1,Business,Paula,Caproni,9,50.0,Paula Caproni
222231,2.7,2.6,Information Science,Joan,Durrance,6,,Joan Durrance
222702,3.0,1.9,History,Nancy,Hunt,12,50.0,Nancy Hunt
224257,3.4,2.9,Fine Arts,Rebecca,Zurier,29,66.0,Rebecca Zurier
224483,2.1,4.9,Music,Jamie,Nix,23,,Jamie Nix
233827,1.8,4.1,Asian Studies,Miranda,Brown,30,100.0,Miranda Brown
236190,3.4,2.8,English,Kelly,Allen,40,50.0,Kelly Allen
240429,3.7,3.4,English,David,Halperin,23,66.0,David Halperin
242334,3.8,4.1,Accounting,Charles,Klemstine,64,100.0,Charles Klemstine
242921,3.4,3.7,Biostatistics,Trivellore,Raghunathan,9,75.0,Trivellore Raghunathan
247543,2.5,3.9,Nuclear Engineering,Alex,Bielajew,156,0.0,Alex Bielajew
249012,4.2,3.7,Mathematics,Denise,Lee,36,22.0,Denise Lee
252602,2.4,4.3,German,Kader,Konuk,10,,Kader Konuk
254619,2.7,4.1,Philosophy,Louis,Loeb,41,,Louis Loeb
257205,2.8,4.7,Physics,Ctirad,Uher,64,100.0,Ctirad Uher
258387,3.5,3.6,Materials Engineering,Tresa,Pollock,4,,Tresa Pollock
260456,3.5,3.2,Chemistry,Jadwiga,Sipowska,165,0.0,Jadwiga Sipowska
265135,2.5,3.9,Anthropology,Andrew,Shryock,98,,Andrew Shryock
282617,2.2,3.3,Psychology,Carla,Grayson,128,35.0,Carla Grayson
282622,3.4,3.3,Philosophy,Carl,Cohen,23,100.0,Carl Cohen
283783,2.4,4.0,Classics,Sara,Forsdyke,35,62.0,Sara Forsdyke
283790,2.4,3.8,Biology,John,Vandermeer,59,81.0,John Vandermeer
283794,2.5,3.4,Linguistics,San,Duanmu,37,62.0,San Duanmu
283795,3.3,3.0,Linguistics,Jeffrey,Heath,18,66.0,Jeffrey Heath
288452,3.3,2.8,Biology,Barry,O'Connor,85,,Barry O'Connor
289256,3.0,2.5,Mathematics,Igor,Kriz,25,66.0,Igor Kriz
298890,3.2,4.4,English,Anne,Curzan,47,62.0,Anne Curzan
299463,2.9,1.9,History,Penny,Von Eschen,36,0.0,Penny Von Eschen
299466,3.0,3.1,Social Science,Frank,Thompson,21,100.0,Frank Thompson
299659,3.8,3.2,Architecture,Malcolm,McCullough,5,100.0,Malcolm McCullough
303032,2.2,3.5,Languages,Ton,Broos,27,,Ton Broos
305018,3.3,3.3,History,Regina,Morantz-Sanchez,26,100.0,Regina Morantz-Sanchez
305418,2.3,2.6,Mechanical Engineering,Richard,Scott,32,,Richard Scott
307633,3.1,4.6,English,Alex,Ralph,29,,Alex Ralph
309144,3.0,4.1,Biology,Paul,Dunlap,38,100.0,Paul Dunlap
309926,3.9,4.3,Engineering,Leslie,Olsen,30,100.0,Leslie Olsen
310336,2.2,3.5,Psychology,Stephanie,Rowley,27,,Stephanie Rowley
313993,2.9,4.4,Film,Johannes,Von Moltke,28,50.0,Johannes Von Moltke
319890,2.1,4.8,Physics,Jean,Krisch,16,100.0,Jean Krisch
319912,3.3,3.1,English,Richard,Tillinghast,8,,Richard Tillinghast
321192,2.7,3.9,Anthropology,Jennifer,Robertson,23,0.0,Jennifer Robertson
321316,3.4,2.8,History,Hitomi,Tonomura,24,40.0,Hitomi Tonomura
322412,3.1,2.3,Art,Carol,Jacobsen,7,,Carol Jacobsen
323232,4.3,2.5,Mathematics,Russell,Goward,3,100.0,Russell Goward
326531,3.3,2.7,Music,John,Wiley,13,,John Wiley
326536,4.5,3.9,Music,Ellwood,Derr,4,,Ellwood Derr
326538,3.0,3.2,Music,Edward,Sarath,5,,Edward Sarath
326540,2.5,4.8,Music,Edward,Parmentier,4,,Edward Parmentier
328590,3.7,4.3,Mathematics,Lukas,Geyer,3,,Lukas Geyer
328802,3.1,3.0,English,Elizabeth,Goodenough,15,0.0,Elizabeth Goodenough
328803,3.3,2.8,Information Science,Paul,Edwards,9,0.0,Paul Edwards
329934,2.9,3.9,Arabic,Carol,Bardenstein,32,100.0,Carol Bardenstein
331359,3.6,3.8,Physics,Gregory,Tarle,29,100.0,Gregory Tarle
333411,3.3,3.0,Theology,Elliot,Ginsberg,27,83.0,Elliot Ginsberg
334050,3.9,1.4,Engineering,Richard,Wallace,20,,Richard Wallace
334833,3.3,2.3,Political Science,William,Zimmerman,8,,William Zimmerman
335129,3.5,3.2,English,June,Howard,13,66.0,June Howard
335309,4.6,1.0,Biomedical,Shuichi,Takayama,7,,Shuichi Takayama
335310,2.8,4.0,Chemical Engineering,Phil,Savage,4,,Phil Savage
335311,3.5,4.3,Chemical Engineering,Michael,Solomon,6,,Michael Solomon
339560,3.0,4.8,Industrial Engineering,Amy,Cohn,26,100.0,Amy Cohn
339566,3.8,2.6,Industrial Engineering,Marina,Epelman,14,100.0,Marina Epelman
339568,3.3,3.9,Industrial Engineering,Yili,Liu,28,60.0,Yili Liu
340871,2.8,4.7,Art History,Elizabeth,Sears,17,100.0,Elizabeth Sears
343607,2.4,3.3,Music,Mark,Clague,26,58.0,Mark Clague
346331,3.1,2.8,Mathematics,Berit,Stensones,17,,Berit Stensones
351584,2.3,3.6,Spanish,Teresa,Satterfield,22,40.0,Teresa Satterfield
352750,2.4,3.9,Classics,David,Potter,53,50.0,David Potter
353338,3.2,4.3,History,David,Smith,19,,David Smith
358160,3.0,4.0,Asian Studies,Gareth,Sparham,5,,Gareth Sparham
362568,3.8,3.2,Biology,John,Kuwada,23,,John Kuwada
362663,2.3,3.8,Philosophy,Brian,MacPherson,30,,Brian MacPherson
365071,3.0,4.6,History,Philip,Deloria,21,100.0,Philip Deloria
365072,3.8,3.5,Economics,Daniel,Silverman,5,,Daniel Silverman
366916,1.8,2.4,Anthropology,Janet,Hart,4,,Janet Hart
366977,2.4,4.0,Russian,Olga,Maiorova,30,71.0,Olga Maiorova
369585,1.7,4.0,Comparative Literature,Santiago,Colas,23,100.0,Santiago Colas
373045,3.7,2.2,Electrical Engineering,Pinaki,Mazumder,33,0.0,Pinaki Mazumder
373114,3.3,4.4,Fine Arts,Marianetta,Porter,12,100.0,Marianetta Porter
373396,2.6,5.0,Asian Studies,Junko,Kondo,17,100.0,Junko Kondo
376170,2.9,3.3,Spanish,Maria Elena,Baranov,27,,Maria Elena Baranov
379318,2.6,5.0,Aerospace Studies,Peter,Washabaugh,49,100.0,Peter Washabaugh
379708,2.4,4.2,Mathematics,John Erik,Fornaess,27,,John Erik Fornaess
380126,3.9,3.3,Mechanical Engineering,Hong,Im,7,,Hong Im
380160,2.4,4.7,Hebrew,Milka,Eliav,17,,Milka Eliav
381788,3.4,3.2,Nuclear Engineering,Zhong,He,5,100.0,Zhong He
382509,3.5,2.8,Chemistry,Mark,Banaszak Holl,14,0.0,Mark Banaszak Holl
385197,3.5,4.1,Accounting,Karen,Bird,31,100.0,Karen Bird
385433,3.0,1.8,Education,Eugenie,Potter,5,,Eugenie Potter
385797,3.6,4.2,French,Emily,Kafka,26,,Emily Kafka
385873,2.9,2.6,American Studies,Kristin,Hass,73,60.0,Kristin Hass
386703,2.6,4.0,Biology,Donald,Zak,12,100.0,Donald Zak
389291,2.6,4.6,French,Peggy,McCracken,5,,Peggy McCracken
389293,3.8,3.4,English,Gene,Laskowski,53,,Gene Laskowski
389831,2.0,3.6,Anthropology,Elisha,Renne,24,100.0,Elisha Renne
390634,3.0,3.8,Sociology,Anthony,Chen,23,,Anthony Chen
391466,3.5,3.4,Chemistry,Anna,Mapp,49,80.0,Anna Mapp
394121,1.0,5.0,Business,Thomas,Schriber,1,,Thomas Schriber
394281,2.7,2.3,Biology,George,Estabrook,31,,George Estabrook
398756,2.8,4.5,Mathematics,Kristen,Moore,13,100.0,Kristen Moore
400368,1.5,4.3,Civil Engineering,Will,Hansen,10,66.0,Will Hansen
403396,2.5,4.2,Spanish,Pedro,Gomez,45,100.0,Pedro Gomez
403415,2.3,5.0,Education,Allen,Menlo,4,,Allen Menlo
403543,2.8,3.1,Physics,Frederick,Becchetti,11,,Frederick Becchetti
403566,3.8,2.6,Philosophy,Paul,Sunstein,4,,Paul Sunstein
403569,1.6,4.1,Psychology,Elizabeth,Wierba,32,0.0,Elizabeth Wierba
403677,2.6,5.0,Statistics,Ji,Zhu,16,100.0,Ji Zhu
403684,2.5,4.2,Computer Science,Don,Winsor,22,,Don Winsor
403689,3.6,3.2,Computer Engineering,Satinder Singh,Baveja,22,0.0,Satinder Singh Baveja
404892,2.6,4.3,Physics,Mary-Ann,Mycek,5,,Mary-Ann Mycek
405806,2.7,3.6,Biology,Priscilla,Tucker,7,,Priscilla Tucker
405849,2.7,3.6,Civil Engineering,Aline,Cotel,19,50.0,Aline Cotel
406360,3.3,4.0,Mechanical Engineering,Dawn,Tilbury,9,0.0,Dawn Tilbury
406393,3.8,3.4,Materials Engineering,J. Wayne,Jones,9,,J. Wayne Jones
406402,4.3,4.1,Aerospace Studies,John,Shaw,16,100.0,John Shaw
409099,2.8,3.8,Spanish,Juan,Arnau Navarro,22,,Juan Arnau Navarro
413614,2.2,3.8,Psychology,Kai,Cortina,12,100.0,Kai Cortina
414562,2.6,4.2,Anthropology,John,Mitani,103,62.0,John Mitani
415751,3.7,3.3,Biology,Janine,Maddock,38,100.0,Janine Maddock
417704,2.7,3.1,Political Science,Lawrence,Greene,78,,Lawrence Greene
418131,3.4,4.3,History,Paolo,Squatriti,46,60.0,Paolo Squatriti
418290,3.9,4.9,English,John,Whittier-Ferguson,38,100.0,John Whittier-Ferguson
418302,2.4,3.6,Art History,Margaret,Root,9,,Margaret Root
418304,2.5,4.4,Anthropology,Stuart,Kirsch,19,100.0,Stuart Kirsch
431285,3.3,4.5,History,Susan,Juster,28,100.0,Susan Juster
431288,2.8,3.9,Art History,Megan,Holmes,32,100.0,Megan Holmes
435571,1.7,4.0,Psychology,Kelly,Maxwell,6,,Kelly Maxwell
435661,4.0,4.5,Music,Martha,Sheil,10,,Martha Sheil
440129,1.5,4.6,Classics,Arthur,Verhoogt,35,100.0,Arthur Verhoogt
444243,3.9,4.8,Physics,James,Liu,13,100.0,James Liu
444447,2.4,3.3,English,Josephine,Kearns,38,,Josephine Kearns
444788,2.9,4.1,Business,Thomas,Gladwin,7,,Thomas Gladwin
444886,2.3,5.0,Classics,Billy,Finch,3,,Billy Finch
444941,3.0,4.0,English,Marjorie,Levinson,23,66.0,Marjorie Levinson
447243,2.6,2.9,Music,Amy K.,Stillman,12,100.0,Amy K. Stillman
447245,3.4,3.3,Biology,Diarmaid,O'Foighil,54,100.0,Diarmaid O'Foighil
448317,2.0,3.3,Classics,Vassilios,Lambropoulos,15,,Vassilios Lambropoulos
449681,2.5,4.0,English,Julie,Babcock,32,100.0,Julie Babcock
450965,2.9,4.0,Art History,Lisa,Nevett,21,62.0,Lisa Nevett
451772,4.2,3.1,Biology,Ursula,Jakob,30,100.0,Ursula Jakob
452231,2.8,3.5,History,Kali,Israel,49,58.0,Kali Israel
457331,2.6,4.8,Psychology,Jeffrey,Hutsler,7,,Jeffrey Hutsler
457924,2.8,3.8,Women's Studies,Nadine,Hubbs,30,100.0,Nadine Hubbs
458513,3.5,3.8,Physics,Rudolf,Thun,8,,Rudolf Thun
458645,2.6,4.3,English,David,Ruderman,10,,David Ruderman
458675,2.7,4.7,Music,Christian,Matjias,3,,Christian Matjias
462636,2.0,4.9,Psychology,Priti,Shah,18,100.0,Priti Shah
464417,0.0,0.0,Mechanical Engineering,Alan,Argento,0,,Alan Argento
465056,3.1,3.5,Chemical Engineering,Susan,Montgomery,17,,Susan Montgomery
465058,2.6,4.7,Chemical Engineering,Mark,Burns,11,,Mark Burns
468260,1.9,4.8,French,Yannick,Viers,56,100.0,Yannick Viers
470322,2.4,4.3,English,"William ""Buzz""",Alexander,21,100.0,"William ""Buzz"" Alexander"
470561,3.1,4.1,Spanish,Talia,Dajes,8,,Talia Dajes
471680,2.0,3.9,American Studies,Maria,Cotera,43,50.0,Maria Cotera
472120,1.7,4.8,German,Vicki,Dischler,30,100.0,Vicki Dischler
473073,3.6,2.4,Political Science,Elizabeth,Wingrove,48,,Elizabeth Wingrove
474456,3.1,2.9,Classics,Ruth,Scodel,41,0.0,Ruth Scodel
476662,4.5,2.9,Russian,Alina,Makin,34,14.0,Alina Makin
478075,2.6,3.4,English,Gorman,Beauchamp,24,,Gorman Beauchamp
478149,3.1,4.5,Biology,John,Schiefelbein,30,100.0,John Schiefelbein
479025,1.6,4.7,Psychology,Monique,Ward,52,100.0,Monique Ward
480978,2.9,4.5,English,Fritz,Swanson,69,100.0,Fritz Swanson
483421,2.3,4.4,Engineering,Lorelle,Meadows,15,,Lorelle Meadows
483764,2.7,3.8,Information Science,Sandra,Bartlett,3,,Sandra Bartlett
486262,2.8,4.0,Industrial Engineering,Goker,Aydin,10,100.0,Goker Aydin
486716,1.6,4.7,Spanish,Karen,Primorac,11,,Karen Primorac
490677,3.3,4.6,Residential College,Dominique,Butler-Borruat,33,100.0,Dominique Butler-Borruat
492655,2.1,4.5,Film,Christopher,McNamara,12,100.0,Christopher McNamara
493604,4.4,4.5,Political Science,Zvi,Gitelman,25,,Zvi Gitelman
496109,3.0,4.5,English,Joshua,Miller,25,83.0,Joshua Miller
497323,2.1,4.7,Mathematics,Zheng,Huang,22,100.0,Zheng Huang
497559,2.3,2.3,Mechanical Engineering,Noboru,Kikuchi,7,,Noboru Kikuchi
498443,3.7,4.1,English,Frank,Handstein,11,,Frank Handstein
501436,2.8,4.5,History,Brian,Porter,76,83.0,Brian Porter
502455,2.9,3.7,Mathematics,Lyudmyla,Barannyk,12,,Lyudmyla Barannyk
503596,2.8,3.3,Electrical Engineering,Mingyan,Liu,6,100.0,Mingyan Liu
505363,2.6,4.0,Psychology,Scott,Paris,24,,Scott Paris
509653,3.5,2.2,Mathematics,Anna,Gilbert,11,,Anna Gilbert
509656,3.2,4.5,Naval Science,Michael,Bernitsas,10,,Michael Bernitsas
511978,2.4,3.6,Materials Engineering,Joanna,Mirecki-Millunchick,14,,Joanna Mirecki-Millunchick
513148,3.0,2.9,Industrial Engineering,Paul,Green,27,38.0,Paul Green
513307,4.1,2.9,Biology,Robert,Denver,53,100.0,Robert Denver
514055,3.0,3.9,Ethnic Studies,Michael,Witgen,15,100.0,Michael Witgen
516778,2.9,3.2,Biology,Philip,Myers,9,,Philip Myers
516810,2.3,2.7,Asian Studies,Esperanza,Ramirez-Christensen,10,,Esperanza Ramirez-Christensen
516892,3.2,4.8,German,Peggy,Wunderwald-Jensen,11,,Peggy Wunderwald-Jensen
516959,2.7,4.0,Electrical Engineering,Andrew,Yagle,40,66.0,Andrew Yagle
517234,3.2,4.1,Philosophy,Greg,Sax,31,,Greg Sax
517453,3.3,3.7,English,Eileen,Pollack,18,,Eileen Pollack
517461,2.8,4.5,History,Martin,Pernick,37,90.0,Martin Pernick
517830,2.4,3.4,English,George,Cooper,35,,George Cooper
518020,3.0,3.3,Political Science,Ted,Brader,18,100.0,Ted Brader
518088,3.7,2.2,Fine Arts,Ed,West,15,,Ed West
521104,1.3,5.0,Residential College,Barbara,Sloat,4,,Barbara Sloat
521649,3.1,2.5,Residential College,David,Burkam,26,20.0,David Burkam
521957,0.0,0.0,Mathematics,Brendan,Weickert,0,,Brendan Weickert
522549,3.5,4.8,Chemistry,Melanie,Sanford,70,92.0,Melanie Sanford
522969,4.1,3.3,Mathematics,Peter,Duren,13,,Peter Duren
524009,2.1,4.1,Linguistics,Samuel,Epstein,59,78.0,Samuel Epstein
524225,2.3,3.9,Economics,Peter,Morgan,7,,Peter Morgan
524400,2.7,4.5,Music,Louis,Nagel,6,,Louis Nagel
524417,2.6,4.4,Sociology,David,Schoem,29,0.0,David Schoem
524636,2.3,3.7,Sociology,Luis Felipe,Sfeir-Younis,113,40.0,Luis Felipe Sfeir-Younis
526315,1.8,4.2,Women's Studies,Lisa,Low,29,,Lisa Low
527003,2.1,4.6,Art History,Kevin,Carr,31,100.0,Kevin Carr
527024,2.7,5.0,Japanese,Tetsuya,Sato,11,,Tetsuya Sato
527501,1.8,4.0,German,Julia,Hell,4,0.0,Julia Hell
528268,4.1,3.5,Spanish,Enrique,Santo Tomas Garcia,18,100.0,Enrique Santo Tomas Garcia
528271,4.2,3.3,Biology,Kenneth,Balazovich,171,47.0,Kenneth Balazovich
530073,1.7,4.5,Anthropology,John,O'Shea,10,50.0,John O'Shea
530787,2.8,3.2,Environmental Science,Paul,Webb,42,,Paul Webb
530936,1.4,4.9,Music,Andrew,Mead,10,,Andrew Mead
531132,2.4,5.0,Mathematics,Dale,Winter,22,,Dale Winter
531677,3.8,3.7,Physics,James,Allen,20,,James Allen
532259,2.8,4.2,Kinesiology,Kelli,Donahue,37,100.0,Kelli Donahue
532293,2.4,4.9,English,Natalie,Bakopoulos,49,75.0,Natalie Bakopoulos
532728,3.0,3.3,Anthropology,Alaina,Lemon,40,100.0,Alaina Lemon
533484,2.9,2.8,English,Macklin,Smith,25,100.0,Macklin Smith
533672,2.1,2.0,Anthropology,Melvin,Williams,14,,Melvin Williams
533975,2.9,3.4,English,Sridevi,Nair,9,,Sridevi Nair
535359,2.2,3.6,Linguistics,Steve,Dworkin,15,100.0,Steve Dworkin
535364,2.8,4.0,Environmental Science,Stephen,Kesler,23,,Stephen Kesler
535979,4.2,1.7,Economics,Miles,Kimball,80,0.0,Miles Kimball
536538,3.1,3.6,History,Helmut,Puff,13,,Helmut Puff
538303,2.1,4.7,Chinese,Qinghai,Chen,8,,Qinghai Chen
539372,2.6,3.9,Geology,Jeff,Wilson,43,60.0,Jeff Wilson
539500,3.2,4.8,English,Amy,Rodgers,5,,Amy Rodgers
544602,3.1,3.8,History,Sueann,Caulfield,11,100.0,Sueann Caulfield
545704,2.5,3.7,Astronomy,John,Monnier,32,66.0,John Monnier
547771,3.5,4.3,Mathematics,Sergey,Fomin,16,80.0,Sergey Fomin
549553,2.8,4.0,Spanish,Sofia,Garcia Martos,18,,Sofia Garcia Martos
549742,2.4,2.9,Statistics,Anne,Buu,9,100.0,Anne Buu
550563,0.0,0.0,Pharmacy,Rivka,Siden,0,,Rivka Siden
