profID,avgDifficulty,avgRating,department,firstName,lastName,numRatings,wouldTakeAgainPercent
176208,3.7,2.1,Mathematics,Howard,Thompson,7,0
176466,2.9,3,Residential College,Helen,Fox,18,100
177226,2.5,4.5,Mathematics,Deborah,Ball,4,-1
179285,3.5,2.3,Architecture,Jason,Young,6,100
179408,3.3,2.5,Economics,George,Johnson,54,-1
182883,3.8,2.9,Economics,Alan,Deardorff,90,30
184675,3.7,1.9,Aerospace Studies,Phil,Roe,11,0
185293,3.4,4.3,Political Science,Kenneth,Kollman,68,68
186311,4.4,2.6,Electrical Engineering,Sugih,Jamin,22,20
186685,2.6,3.6,English,Therese,Stanton,9,-1
187607,4.3,1.9,Mechanical Engineering,Arvind,Atreya,23,0
188664,2.8,4.6,German,Janet,Van Valkenburg,12,-1
188962,3.1,3.8,Mechanical Engineering,Claus,Borgnakke,42,60
188967,2.6,2.5,Mechanical Engineering,Edgar,Meyhofer,22,33.3333
188972,2.1,5,German,Hartmut,Rastalsky,40,100
191439,2.6,3,Film,Catherine,Benamou,14,-1
191614,3.8,4.1,Physics,August,Evrard,66,80
192603,4.4,1.5,Chemistry,Gary,Glick,84,100
192609,3.3,1,Materials Engineering,Rachel,Goldman,26,0
192964,3.8,4.3,Physics,Duncan,Steel,6,100
194496,3.6,4.6,Spanish,Clare,McAlister-Raeburn,8,-1
199742,2.6,4.5,Spanish,Andrew,Noverr,55,100
199757,2.5,4.3,History,Maris,Vinovskis,49,100
210445,1.9,3,Anthropology,Barbra,Meek,24,50
211452,2.8,4.8,Comprehensive Studies,Ricky,Fountain,11,-1
214191,2.7,3.8,Film,Hugh,Cohen,40,-1
214199,1.8,4.9,Italian,Adelaide,Smith,27,-1
214209,2.8,2.7,Theater,Gary,Decker,8,0
214211,2.6,5,Film,Terri,Sarris,27,100
217240,2.6,2.4,Astronomy,Hugh,Aller,36,-1
217747,3.6,4.4,Physics,Jianming,Qian,16,100
217748,3.4,4.4,Physics,David,Gerdes,55,100
219278,2,3.8,Film,Lucia,Saks,28,-1
219351,3.5,4,Philosophy,Elizabeth,Anderson,42,100
220017,4.6,3.8,Music,Richard,Beene,10,-1
220196,2.2,4.4,History,Damon,Salesa,22,-1
222221,3.4,2.5,Business,John,Tropman,10,66.6667
222224,3.4,2.5,Psychology,Frank,Yates,9,0
222229,2.9,3.1,Business,Paula,Caproni,9,50
222231,2.7,2.6,Information Science,Joan,Durrance,6,-1
222702,3,1.9,History,Nancy,Hunt,12,50
224257,3.4,2.9,Fine Arts,Rebecca,Zurier,29,66.6667
224483,2.1,4.9,Music,Jamie,Nix,23,-1
233827,1.8,4.1,Asian Studies,Miranda,Brown,30,100
236190,3.4,2.8,English,Kelly,Allen,40,50
240429,3.7,3.4,English,David,Halperin,23,66.6667
242334,3.8,4.1,Accounting,Charles,Klemstine,64,100
242921,3.4,3.7,Biostatistics,Trivellore,Raghunathan,9,75
247543,2.5,3.9,Nuclear Engineering,Alex,Bielajew,156,0
249012,4.2,3.7,Mathematics,Denise,Lee,36,22.2222
252602,2.4,4.3,German,Kader,Konuk,10,-1
254619,2.7,4.1,Philosophy,Louis,Loeb,41,-1
257205,2.8,4.7,Physics,Ctirad,Uher,64,100
258387,3.5,3.6,Materials Engineering,Tresa,Pollock,4,-1
260456,3.5,3.2,Chemistry,Jadwiga,Sipowska,165,0
265135,2.5,3.9,Anthropology,Andrew,Shryock,98,-1
282617,2.2,3.3,Psychology,Carla,Grayson,128,35.7143
282622,3.4,3.3,Philosophy,Carl,Cohen,23,100
283783,2.4,4,Classics,Sara,Forsdyke,35,62.5
283790,2.4,3.8,Biology,John,Vandermeer,59,81.8182
283794,2.5,3.4,Linguistics,San,Duanmu,37,62.5
283795,3.3,3,Linguistics,Jeffrey,Heath,18,66.6667
288452,3.3,2.8,Biology,Barry,O'Connor,85,-1
289256,3,2.5,Mathematics,Igor,Kriz,25,66.6667
298890,3.2,4.4,English,Anne,Curzan,47,62.5
299463,2.9,1.9,History,Penny,Von Eschen,36,0
299466,3,3.1,Social Science,Frank,Thompson,21,100
299659,3.8,3.2,Architecture,Malcolm,McCullough,5,100
303032,2.2,3.5,Languages,Ton,Broos,27,-1
305018,3.3,3.3,History,Regina,Morantz-Sanchez,26,100
305418,2.3,2.6,Mechanical Engineering,Richard,Scott,32,-1
307633,3.1,4.6,English,Alex,Ralph,29,-1
309144,3,4.1,Biology,Paul,Dunlap,38,100
309926,3.9,4.3,Engineering,Leslie,Olsen,30,100
310336,2.2,3.5,Psychology,Stephanie,Rowley,27,-1
313993,2.9,4.4,Film,Johannes,Von Moltke,28,50
319890,2.1,4.8,Physics,Jean,Krisch,16,100
319912,3.3,3.1,English,Richard,Tillinghast,8,-1
321192,2.7,3.9,Anthropology,Jennifer,Robertson,23,0
321316,3.4,2.8,History,Hitomi,Tonomura,24,40
322412,3.1,2.3,Art,Carol,Jacobsen,7,-1
323232,4.3,2.5,Mathematics,Russell,Goward,3,100
326531,3.3,2.7,Music,John,Wiley,13,-1
326536,4.5,3.9,Music,Ellwood,Derr,4,-1
326538,3,3.2,Music,Edward,Sarath,5,-1
326540,2.5,4.8,Music,Edward,Parmentier,4,-1
328590,3.7,4.3,Mathematics,Lukas,Geyer,3,-1
328802,3.1,3,English,Elizabeth,Goodenough,15,0
328803,3.3,2.8,Information Science,Paul,Edwards,9,0
329934,2.9,3.9,Arabic,Carol,Bardenstein,32,100
331359,3.6,3.8,Physics,Gregory,Tarle,29,100
333411,3.3,3,Theology,Elliot,Ginsberg,27,83.3333
334050,3.9,1.4,Engineering,Richard,Wallace,20,-1
334833,3.3,2.3,Political Science,William,Zimmerman,8,-1
335129,3.5,3.2,English,June,Howard,13,66.6667
335309,4.6,1,Biomedical,Shuichi,Takayama,7,-1
335310,2.8,4,Chemical Engineering,Phil,Savage,4,-1
335311,3.5,4.3,Chemical Engineering,Michael,Solomon,6,-1
339560,3,4.8,Industrial Engineering,Amy,Cohn,26,100
339566,3.8,2.6,Industrial Engineering,Marina,Epelman,14,100
339568,3.3,3.9,Industrial Engineering,Yili,Liu,28,60
340871,2.8,4.7,Art History,Elizabeth,Sears,17,100
343607,2.4,3.3,Music,Mark,Clague,26,58.3333
346331,3.1,2.8,Mathematics,Berit,Stensones,17,-1
351584,2.3,3.6,Spanish,Teresa,Satterfield,22,40
352750,2.4,3.9,Classics,David,Potter,53,50
353338,3.2,4.3,History,David,Smith,19,-1
358160,3,4,Asian Studies,Gareth,Sparham,5,-1
362568,3.8,3.2,Biology,John,Kuwada,23,-1
362663,2.3,3.8,Philosophy,Brian,MacPherson,30,-1
365071,3,4.6,History,Philip,Deloria,21,100
365072,3.8,3.5,Economics,Daniel,Silverman,5,-1
366916,1.8,2.4,Anthropology,Janet,Hart,4,-1
366977,2.4,4,Russian,Olga,Maiorova,30,71.4286
369585,1.7,4,Comparative Literature,Santiago,Colas,23,100
373045,3.7,2.2,Electrical Engineering,Pinaki,Mazumder,33,0
373114,3.3,4.4,Fine Arts,Marianetta,Porter,12,100
373396,2.6,5,Asian Studies,Junko,Kondo,17,100
376170,2.9,3.3,Spanish,Maria Elena,Baranov,27,-1
379318,2.6,5,Aerospace Studies,Peter,Washabaugh,49,100
379708,2.4,4.2,Mathematics,John Erik,Fornaess,27,-1
380126,3.9,3.3,Mechanical Engineering,Hong,Im,7,-1
380160,2.4,4.7,Hebrew,Milka,Eliav,17,-1
381788,3.4,3.2,Nuclear Engineering,Zhong,He,5,100
382509,3.5,2.8,Chemistry,Mark,Banaszak Holl,14,0
385197,3.5,4.1,Accounting,Karen,Bird,31,100
385433,3,1.8,Education,Eugenie,Potter,5,-1
385797,3.6,4.2,French,Emily,Kafka,26,-1
385873,2.9,2.6,American Studies,Kristin,Hass,73,60
386703,2.6,4,Biology,Donald,Zak,12,100
389291,2.6,4.6,French,Peggy,McCracken,5,-1
389293,3.8,3.4,English,Gene,Laskowski,53,-1
389831,2,3.6,Anthropology,Elisha,Renne,24,100
390634,3,3.8,Sociology,Anthony,Chen,23,-1
391466,3.5,3.4,Chemistry,Anna,Mapp,49,80
394121,1,5,Business,Thomas,Schriber,1,-1
394281,2.7,2.3,Biology,George,Estabrook,31,-1
398756,2.8,4.5,Mathematics,Kristen,Moore,13,100
400368,1.5,4.3,Civil Engineering,Will,Hansen,10,66.6667
403396,2.5,4.2,Spanish,Pedro,Gomez,45,100
403415,2.3,5,Education,Allen,Menlo,4,-1
403543,2.8,3.1,Physics,Frederick,Becchetti,11,-1
403566,3.8,2.6,Philosophy,Paul,Sunstein,4,-1
403569,1.6,4.1,Psychology,Elizabeth,Wierba,32,0
403677,2.6,5,Statistics,Ji,Zhu,16,100
403684,2.5,4.2,Computer Science,Don,Winsor,22,-1
403689,3.6,3.2,Computer Engineering,Satinder Singh,Baveja,22,0
404892,2.6,4.3,Physics,Mary-Ann,Mycek,5,-1
405806,2.7,3.6,Biology,Priscilla,Tucker,7,-1
405849,2.7,3.6,Civil Engineering,Aline,Cotel,19,50
406360,3.3,4,Mechanical Engineering,Dawn,Tilbury,9,0
406393,3.8,3.4,Materials Engineering,J. Wayne,Jones,9,-1
406402,4.3,4.1,Aerospace Studies,John,Shaw,16,100
409099,2.8,3.8,Spanish,Juan,Arnau Navarro,22,-1
413614,2.2,3.8,Psychology,Kai,Cortina,12,100
414562,2.6,4.2,Anthropology,John,Mitani,103,62.5
415751,3.7,3.3,Biology,Janine,Maddock,38,100
417704,2.7,3.1,Political Science,Lawrence,Greene,78,-1
418131,3.4,4.3,History,Paolo,Squatriti,46,60
418290,3.9,4.9,English,John,Whittier-Ferguson,38,100
418302,2.4,3.6,Art History,Margaret,Root,9,-1
418304,2.5,4.4,Anthropology,Stuart,Kirsch,19,100
431285,3.3,4.5,History,Susan,Juster,28,100
431288,2.8,3.9,Art History,Megan,Holmes,32,100
435571,1.7,4,Psychology,Kelly,Maxwell,6,-1
435661,4,4.5,Music,Martha,Sheil,10,-1
440129,1.5,4.6,Classics,Arthur,Verhoogt,35,100
444243,3.9,4.8,Physics,James,Liu,13,100
444447,2.4,3.3,English,Josephine,Kearns,38,-1
444788,2.9,4.1,Business,Thomas,Gladwin,7,-1
444886,2.3,5,Classics,Billy,Finch,3,-1
444941,3,4,English,Marjorie,Levinson,23,66.6667
447243,2.6,2.9,Music,Amy K.,Stillman,12,100
447245,3.4,3.3,Biology,Diarmaid,O'Foighil,54,100
448317,2,3.3,Classics,Vassilios,Lambropoulos,15,-1
449681,2.5,4,English,Julie,Babcock,32,100
450965,2.9,4,Art History,Lisa,Nevett,21,62.5
451772,4.2,3.1,Biology,Ursula,Jakob,30,100
452231,2.8,3.5,History,Kali,Israel,49,58.3333
457331,2.6,4.8,Psychology,Jeffrey,Hutsler,7,-1
457924,2.8,3.8,Women's Studies,Nadine,Hubbs,30,100
458513,3.5,3.8,Physics,Rudolf,Thun,8,-1
458645,2.6,4.3,English,David,Ruderman,10,-1
458675,2.7,4.7,Music,Christian,Matjias,3,-1
462636,2,4.9,Psychology,Priti,Shah,18,100
464417,0,0,Mechanical Engineering,Alan,Argento,0,-1
465056,3.1,3.5,Chemical Engineering,Susan,Montgomery,17,-1
465058,2.6,4.7,Chemical Engineering,Mark,Burns,11,-1
468260,1.9,4.8,French,Yannick,Viers,56,100
470322,2.4,4.3,English,"William ""Buzz""",Alexander,21,100
470561,3.1,4.1,Spanish,Talia,Dajes,8,-1
471680,2,3.9,American Studies,Maria,Cotera,43,50
472120,1.7,4.8,German,Vicki,Dischler,30,100
473073,3.6,2.4,Political Science,Elizabeth,Wingrove,48,-1
474456,3.1,2.9,Classics,Ruth,Scodel,41,0
476662,4.5,2.9,Russian,Alina,Makin,34,14.2857
478075,2.6,3.4,English,Gorman,Beauchamp,24,-1
478149,3.1,4.5,Biology,John,Schiefelbein,30,100
479025,1.6,4.7,Psychology,Monique,Ward,52,100
480978,2.9,4.5,English,Fritz,Swanson,69,100
483421,2.3,4.4,Engineering,Lorelle,Meadows,15,-1
483764,2.7,3.8,Information Science,Sandra,Bartlett,3,-1
486262,2.8,4,Industrial Engineering,Goker,Aydin,10,100
486716,1.6,4.7,Spanish,Karen,Primorac,11,-1
490677,3.3,4.6,Residential College,Dominique,Butler-Borruat,33,100
492655,2.1,4.5,Film,Christopher,McNamara,12,100
493604,4.4,4.5,Political Science,Zvi,Gitelman,25,-1
496109,3,4.5,English,Joshua,Miller,25,83.3333
497323,2.1,4.7,Mathematics,Zheng,Huang,22,100
497559,2.3,2.3,Mechanical Engineering,Noboru,Kikuchi,7,-1
498443,3.7,4.1,English,Frank,Handstein,11,-1
501436,2.8,4.5,History,Brian,Porter,76,83.3333
502455,2.9,3.7,Mathematics,Lyudmyla,Barannyk,12,-1
503596,2.8,3.3,Electrical Engineering,Mingyan,Liu,6,100
505363,2.6,4,Psychology,Scott,Paris,24,-1
509653,3.5,2.2,Mathematics,Anna,Gilbert,11,-1
509656,3.2,4.5,Naval Science,Michael,Bernitsas,10,-1
511978,2.4,3.6,Materials Engineering,Joanna,Mirecki-Millunchick,14,-1
513148,3,2.9,Industrial Engineering,Paul,Green,27,38.4615
513307,4.1,2.9,Biology,Robert,Denver,53,100
514055,3,3.9,Ethnic Studies,Michael,Witgen,15,100
516778,2.9,3.2,Biology,Philip,Myers,9,-1
516810,2.3,2.7,Asian Studies,Esperanza,Ramirez-Christensen,10,-1
516892,3.2,4.8,German,Peggy,Wunderwald-Jensen,11,-1
516959,2.7,4,Electrical Engineering,Andrew,Yagle,40,66.6667
517234,3.2,4.1,Philosophy,Greg,Sax,31,-1
517453,3.3,3.7,English,Eileen,Pollack,18,-1
517461,2.8,4.5,History,Martin,Pernick,37,90
517830,2.4,3.4,English,George,Cooper,35,-1
518020,3,3.3,Political Science,Ted,Brader,18,100
518088,3.7,2.2,Fine Arts,Ed,West,15,-1
521104,1.3,5,Residential College,Barbara,Sloat,4,-1
521649,3.1,2.5,Residential College,David,Burkam,26,20
521957,0,0,Mathematics,Brendan,Weickert,0,-1
522549,3.5,4.8,Chemistry,Melanie,Sanford,70,92.3077
522969,4.1,3.3,Mathematics,Peter,Duren,13,-1
524009,2.1,4.1,Linguistics,Samuel,Epstein,59,78.5714
524225,2.3,3.9,Economics,Peter,Morgan,7,-1
524400,2.7,4.5,Music,Louis,Nagel,6,-1
524417,2.6,4.4,Sociology,David,Schoem,29,0
524636,2.3,3.7,Sociology,Luis Felipe,Sfeir-Younis,113,40.9091
526315,1.8,4.2,Women's Studies,Lisa,Low,29,-1
527003,2.1,4.6,Art History,Kevin,Carr,31,100
527024,2.7,5,Japanese,Tetsuya,Sato,11,-1
527501,1.8,4,German,Julia,Hell,4,0
528268,4.1,3.5,Spanish,Enrique,Santo Tomas Garcia,18,100
528271,4.2,3.3,Biology,Kenneth,Balazovich,171,47.2222
530073,1.7,4.5,Anthropology,John,O'Shea,10,50
530787,2.8,3.2,Environmental Science,Paul,Webb,42,-1
530936,1.4,4.9,Music,Andrew,Mead,10,-1
531132,2.4,5,Mathematics,Dale,Winter,22,-1
531677,3.8,3.7,Physics,James,Allen,20,-1
532259,2.8,4.2,Kinesiology,Kelli,Donahue,37,100
532293,2.4,4.9,English,Natalie,Bakopoulos,49,75
532728,3,3.3,Anthropology,Alaina,Lemon,40,100
533484,2.9,2.8,English,Macklin,Smith,25,100
533672,2.1,2,Anthropology,Melvin,Williams,14,-1
533975,2.9,3.4,English,Sridevi,Nair,9,-1
535359,2.2,3.6,Linguistics,Steve,Dworkin,15,100
535364,2.8,4,Environmental Science,Stephen,Kesler,23,-1
535979,4.2,1.7,Economics,Miles,Kimball,80,0
536538,3.1,3.6,History,Helmut,Puff,13,-1
538303,2.1,4.7,Chinese,Qinghai,Chen,8,-1
539372,2.6,3.9,Geology,Jeff,Wilson,43,60
539500,3.2,4.8,English,Amy,Rodgers,5,-1
544602,3.1,3.8,History,Sueann,Caulfield,11,100
545704,2.5,3.7,Astronomy,John,Monnier,32,66.6667
547771,3.5,4.3,Mathematics,Sergey,Fomin,16,80
549553,2.8,4,Spanish,Sofia,Garcia Martos,18,-1
549742,2.4,2.9,Statistics,Anne,Buu,9,100
550563,0,0,Pharmacy,Rivka,Siden,0,-1
550934,1.5,2.5,Theatre & Dance,Martin,Walsh,6,0
550963,2,3.8,Geology,Tomasz,Baumiller,40,100
551406,3.6,3,Art,Stephanie,Rowden,9,0
552770,1.5,3.5,American Studies,Vicente,Diaz,14,-1
553809,3.8,4.1,Mathematics,Mario,Bonk,11,-1
559470,1.6,4.6,Psychology,Bob,Pachella,34,100
563609,2.2,4.4,Environmental Science,James,Crowfoot,17,-1
564994,2.3,1.9,Materials Engineering,Amit,Ghosh,4,-1
565474,2.8,1.7,Earth Science,Joyce,Penner,14,0
569896,3.2,2.2,Music,Dennis,Wilson,20,21.4286
570700,4.2,1.8,Economics,Kai-Uwe,Kuhn,64,-1
571375,2.7,4,History,Rita,Chin,30,80
573294,3.3,3.3,Physics,Roy,Clarke,26,100
574809,3,4.4,Spanish,Susanna,Coll,27,66.6667
576649,3.8,3.5,Fine Arts,Patricia,Olynyk,4,-1
578964,3.5,2.9,Communication,Catherine,Squires,20,-1
583778,3.6,1.9,Economics,Linda,Tesar,7,100
583780,3.7,2,Economics,Lutz,Killian,6,-1
583903,2.3,4.8,Mechanical Engineering,Margaret,Wooldridge,17,100
583907,3.4,3.9,Mechanical Engineering,Anna,Stefanopoulou,11,75
583914,1.8,4.8,Mechanical Engineering,Donald,Malen,12,100
583917,4.2,3.2,Mechanical Engineering,David,Dowling,14,0
584367,1.9,4.6,Psychology,James,Hansell,45,-1
585005,3.8,3.6,Psychology,Martin,Sarter,93,83.3333
586677,4.1,1.6,Industrial Engineering,Bernard,Martin,20,100
586680,3.1,3.5,Mechanical Engineering,Jeffrey,Stein,16,75
587375,4,3.4,Spanish,Raquel,Gonzalez,73,42.8571
587381,1.9,4.5,Psychology,Patricia,Gurin,11,-1
587383,2,4.6,History,Donald,Brown,6,-1
588036,5,3,Medicine,Sean,Morrison,1,-1
588237,3.4,3.8,Physics,David,Gidley,41,-1
588815,1.3,4.6,Residential College,Kenneth,Mikolowski,10,-1
588860,2.9,3.5,English,Lincoln,Faller,23,0
588893,3.3,3.3,English,Brenda,Marshall,25,-1
589171,4,3,Biology,Kenneth,Cadigan,73,66.6667
589234,2.5,3.3,Near Eastern Studies,Piotr,Michalowski,13,-1
589261,1.7,4.2,Biology,David,Mindell,7,-1
589334,3.9,3.2,American Studies,J. Alex,Navarro,9,-1
590137,2.8,4.7,Russian,Svitlana,Rogovyk,13,50
591855,1.7,4.8,Psychology,Richard,Mann,20,100
592312,3.7,3,English,Steven,Mullaney,39,100
592766,2.6,4.3,Languages,Bogdana,Carpenter,8,-1
592827,2.4,3.4,English,Allen,Wald,8,-1
592881,3.8,4,Business,Hyun-Soo,Ahn,12,100
594167,3.5,3,Biology,Sushama,Pavgi,107,66.6667
594987,3.4,4,Civil Engineering,Sherif,El-Tawil,16,71.4286
595599,2.8,2.3,Psychology,Joseph,Gone,32,-1
595987,3.6,3,Women's Studies,Anna,Kirkland,40,66.6667
596113,3.4,2.5,Philosophy,Edwin,Curley,8,-1
596149,2.5,3.5,Art History,Celeste,Brusati,9,0
596167,3.3,3.6,Electrical Engineering,Jason,Flinn,15,100
596306,3.3,3.9,Political Science,John,Jackson,6,-1
596480,3.6,3.1,French,Roger,Butler-Borruat,43,72.7273
596663,3.7,2.9,English,Jennifer,Wenzel,17,-1
596686,4.2,3.7,Philosophy,Anthony,Gillies,13,-1
597307,3.4,4,Biology,Santhadevi,Jeyabalan,25,-1
597644,2.7,4.1,Theatre & Dance,Leigh,Woods,14,100
598058,3.9,3.4,History,Scott,Spector,9,50
598229,3.2,4.1,Asian Studies,Ken,Ito,5,-1
598545,1.8,4.8,Music,Charles,Garrett,47,100
598616,1.7,4.7,American Studies,Richard,Meisler,22,100
599956,3.9,4.3,French,Kathleen,Meyer,33,100
600157,2.8,4,English,Catherine,Sanok,12,100
600319,3.7,2.4,Biochemistry,Robert,Fuller,20,25
600511,1.3,4.5,Anthropology,Josh,Reno,3,-1
600944,2.7,3.8,Sports Management,Nicole,Hultgren,15,-1
600945,1.3,3.8,Linguistics,Vitale,Shevoroshkin,8,-1
601211,2.8,4,Political Science,Mary,Gallagher,47,53.8462
601325,3.7,3.9,English,Sharon,Pomerantz,34,-1
602218,3.1,4.9,American Studies,Bruce,Conforth,379,100
603802,1.6,4.3,Near Eastern Studies,Kevork,Bardakjian,10,100
608783,4.1,2.6,Biology,Ronald,Nussbaum,16,-1
609196,3.2,4.8,Civil Engineering,Jerome,Lynch,18,100
611951,2.6,3.4,Civil Engineering,Nikolaos,Katopodes,8,100
611953,3.3,3,Civil Engineering,Christian,Lastoskie,12,100
611955,2.8,3.2,Civil Engineering,Kim,Hayes,6,-1
611958,2.6,3.9,Civil Engineering,Radoslaw,Michalowski,10,75
611989,3.5,4,History,Farina,Mir,29,62.5
612004,3.9,2.9,Art,Vincent,Castagnacci,17,-1
612021,3.1,3.3,Art,Nick,Tobier,16,-1
612250,3.3,4.2,History,Joshua,Cole,45,95.6522
612253,2.8,3.8,Mechanical Engineering,Karl,Grosh,8,-1
612316,3.1,4,Physics,Fred,Adams,23,100
612479,3.6,4.4,Civil Engineering,James,Wight,7,-1
612642,2.5,3.3,Residential College,Beth,Genne,12,-1
612662,1.4,4.4,Psychology,David,Meyer,9,-1
612739,2.4,3.7,Environmental Science,Paul,Mohai,10,75
613045,2.6,4.5,Computer Engineering,Valeria,Bertacco,38,85.7143
613095,2.2,4.5,Social Work,Mario Antonio,Alvarez,10,-1
615411,3.5,4.1,Political Science,Nicholas,Valentino,34,90
616835,3.7,1.6,Philosophy,Richmond,Thomason,15,0
618355,4.3,3.6,Political Science,Marvin,Krislov,8,-1
620102,3.6,4.3,French,Lori,McMann,14,-1
621611,2.3,3.3,American Studies,Esther,Newton,28,-1
621615,2.4,4.5,French,Rachael,Criso,16,-1
624019,2,4.8,Political Science,Arthur,Lupia,48,100
626192,1.7,2.3,Political Science,Helen,Graves,3,-1
627556,2.8,2.9,Business,Bradley,Farnsworth,18,-1
627780,3.6,1.6,Music,Robert,Culver,9,-1
630023,2.7,3.7,Physical Ed,Pat,Vanvolkinburg,3,-1
630029,2,4.6,Kinesiology,Jeffrey,Horowitz,4,-1
630032,2.8,2.8,Education,Deanna,Birdyshaw,4,-1
630039,3,2.8,English,Tobin,Siebers,3,-1
633084,3.7,4.1,Psychology,Evelyn Margaret,Evans,6,-1
636327,4,3.4,Fine Arts,Elona,Van Gent,3,0
636727,2.7,4.8,Physiology,Santiago,Schnell,9,100
